0 X Y Z
0.000557962 0 0 0 
0.0054141 0 0 0 
0.0104039 0 0 0 
0.0154417 0 0 0 
0.0203979 0 0 0 
0.0254025 0 0 0 
0.0303973 0 0 0 
0.0354003 0 0 0 
0.0404014 0 0 0 
0.0454078 0 0 0 
0.0503942 0 0 0 
0.0554059 0 0 0 
0.0603982 0 0 0 
0.0654156 0 0 0 
0.0703946 0 0 0 
0.0754048 0 0 0 
0.0803987 0 0 0 
0.0854023 0 0 0 
0.0904017 0 0 0 
0.0954012 0 0 0 
0.100397 1.5 3.5 5.5 
0.105411 1.5 3.5 5.5 
0.1104 1.5 3.5 5.5 
0.115409 1.5 3.5 5.5 
0.120397 1.36881 3.36881 5.36881 
0.125403 1.36881 3.36881 5.36881 
0.130399 1.36881 3.36881 5.36881 
0.135402 1.36881 3.36881 5.36881 
0.140406 1.24682 3.24682 5.24682 
0.145401 1.24682 3.24682 5.24682 
0.150395 1.24682 3.24682 5.24682 
0.155406 1.24682 3.24682 5.24682 
0.160398 1.14256 3.14256 5.14256 
0.165409 1.14256 3.14256 5.14256 
0.170401 1.14256 3.14256 5.14256 
0.175401 1.14256 3.14256 5.14256 
0.1804 1.06335 3.06335 5.06335 
0.185411 1.06335 3.06335 5.06335 
0.190399 1.06335 3.06335 5.06335 
0.195414 1.06335 3.06335 5.06335 
0.200395 1.01474 3.01474 5.01474 
0.2054 1.01474 3.01474 5.01474 
0.210402 1.01474 3.01474 5.01474 
0.21541 1.01474 3.01474 5.01474 
0.2204 1.00012 3.00012 5.00012 
0.225408 1.00012 3.00012 5.00012 
0.230395 1.00012 3.00012 5.00012 
0.235401 1.00012 3.00012 5.00012 
0.240397 1.02053 3.02053 5.02053 
0.245426 1.02053 3.02053 5.02053 
0.250397 1.02053 3.02053 5.02053 
0.255403 1.02053 3.02053 5.02053 
0.260401 1.07454 3.07454 5.07454 
0.265407 1.07454 3.07454 5.07454 
0.270396 1.07454 3.07454 5.07454 
0.27541 1.07454 3.07454 5.07454 
0.280396 1.15836 3.15836 5.15836 
0.2854 1.15836 3.15836 5.15836 
0.290396 1.15836 3.15836 5.15836 
0.295403 1.15836 3.15836 5.15836 
0.300399 1.26611 3.26611 5.26611 
0.305403 1.26611 3.26611 5.26611 
0.310396 1.26611 3.26611 5.26611 
0.315402 1.26611 3.26611 5.26611 
0.323089 1.39026 3.39026 5.39026 
0.325445 1.39026 3.39026 5.39026 
0.330421 1.39026 3.39026 5.39026 
0.335387 1.39026 3.39026 5.39026 
0.34039 1.52209 3.52209 5.52209 
0.345458 1.52209 3.52209 5.52209 
0.350379 1.52209 3.52209 5.52209 
0.355394 1.52209 3.52209 5.52209 
0.360424 1.65238 3.65238 5.65238 
0.36543 1.65238 3.65238 5.65238 
0.370378 1.65238 3.65238 5.65238 
0.375382 1.65238 3.65238 5.65238 
0.380379 1.77199 3.77199 5.77199 
0.385389 1.77199 3.77199 5.77199 
0.39038 1.77199 3.77199 5.77199 
0.395387 1.77199 3.77199 5.77199 
