WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 0.002042 0.004082 0.002040 0.000000 0.000000 0.000000 0.002042 0.004082 0.002040 0.000000 
0.000000 0.000000 0.000000 0.004084 0.008163 0.004079 0.000000 0.000000 0.000000 0.004084 0.008163 0.004079 0.000000 
0.000000 0.000000 0.000000 0.006126 0.012245 0.006119 0.000000 0.000000 0.000000 0.006126 0.012245 0.006119 0.000000 
0.000000 0.000000 0.000000 0.008167 0.016326 0.008159 0.000000 0.000000 0.000000 0.008167 0.016326 0.008159 0.000000 
0.000000 0.000000 0.000000 0.010209 0.020408 0.010199 0.000000 0.000000 0.000000 0.010209 0.020408 0.010199 0.000000 
0.000000 0.000000 0.000000 0.012251 0.024489 0.012238 0.000000 0.000000 0.000000 0.012251 0.024489 0.012238 0.000000 
0.000000 0.000000 0.000000 0.014293 0.028571 0.014278 0.000000 0.000000 0.000000 0.014293 0.028571 0.014278 0.000000 
0.000000 0.000000 0.000000 0.016335 0.032653 0.016318 0.000000 0.000000 0.000000 0.016335 0.032653 0.016318 0.000000 
0.000000 0.000000 0.000000 0.018377 0.036734 0.018357 0.000000 0.000000 0.000000 0.018377 0.036734 0.018357 0.000000 
0.000000 0.000000 0.000000 0.020419 0.040816 0.020397 0.000000 0.000000 0.000000 0.020419 0.040816 0.020397 0.000000 
0.000000 0.000000 0.000000 0.022461 0.044897 0.022437 0.000000 0.000000 0.000000 0.022461 0.044897 0.022437 0.000000 
0.000000 0.000000 0.000000 0.024502 0.048979 0.024477 0.000000 0.000000 0.000000 0.024502 0.048979 0.024477 0.000000 
0.000000 0.000000 0.000000 0.026544 0.053061 0.026516 0.000000 0.000000 0.000000 0.026544 0.053061 0.026516 0.000000 
0.000000 0.000000 0.000000 0.028586 0.057142 0.028556 0.000000 0.000000 0.000000 0.028586 0.057142 0.028556 0.000000 
0.000000 0.000000 0.000000 0.030628 0.061224 0.030596 0.000000 0.000000 0.000000 0.030628 0.061224 0.030596 0.000000 
0.000000 0.000000 0.000000 0.032670 0.065305 0.032635 0.000000 0.000000 0.000000 0.032670 0.065305 0.032635 0.000000 
0.000000 0.000000 0.000000 0.034712 0.069387 0.034675 0.000000 0.000000 0.000000 0.034712 0.069387 0.034675 0.000000 
0.000000 0.000000 0.000000 0.036754 0.073468 0.036715 0.000000 0.000000 0.000000 0.036754 0.073468 0.036715 0.000000 
0.000000 0.000000 0.000000 0.038796 0.077550 0.038754 0.000000 0.000000 0.000000 0.038796 0.077550 0.038754 0.000000 
0.000000 0.000000 0.000000 0.040837 0.081632 0.040794 0.000000 0.000000 0.000000 0.040837 0.081632 0.040794 0.000000 
0.000000 0.000000 0.000000 0.042879 0.085713 0.042834 0.000000 0.000000 0.000000 0.042879 0.085713 0.042834 0.000000 
0.000000 0.000000 0.000000 0.044921 0.089795 0.044874 0.000000 0.000000 0.000000 0.044921 0.089795 0.044874 0.000000 
0.000000 0.000000 0.000000 0.046963 0.093876 0.046913 0.000000 0.000000 0.000000 0.046963 0.093876 0.046913 0.000000 
0.000000 0.000000 0.000000 0.049005 0.097958 0.048953 0.000000 0.000000 0.000000 0.049005 0.097958 0.048953 0.000000 
0.000000 0.000000 0.000000 0.051047 0.102040 0.050993 0.000000 0.000000 0.000000 0.051047 0.102040 0.050993 0.000000 
0.000000 0.000000 0.000000 0.053089 0.106121 0.053032 0.000000 0.000000 0.000000 0.053089 0.106121 0.053032 0.000000 
0.000000 0.000000 0.000000 0.055131 0.110203 0.055072 0.000000 0.000000 0.000000 0.055131 0.110203 0.055072 0.000000 
0.000000 0.000000 0.000000 0.057172 0.114284 0.057112 0.000000 0.000000 0.000000 0.057172 0.114284 0.057112 0.000000 
