WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.000000 0.000000 -0.000003 0.000377 0.000755 0.000377 0.000003 0.000000 -0.000003 0.000377 0.000755 0.000377 -0.000003 
0.000000 0.000000 -0.000005 0.000755 0.001509 0.000754 0.000005 0.000000 -0.000005 0.000755 0.001509 0.000754 -0.000005 
0.000000 0.000000 -0.000008 0.001132 0.002264 0.001131 0.000008 0.000000 -0.000008 0.001132 0.002264 0.001131 -0.000008 
0.000000 0.000000 -0.000011 0.001510 0.003018 0.001508 0.000011 0.000000 -0.000011 0.001510 0.003018 0.001508 -0.000011 
0.000000 0.000000 -0.000013 0.001887 0.003773 0.001885 0.000013 0.000000 -0.000013 0.001887 0.003773 0.001885 -0.000013 
0.000000 0.000000 -0.000016 0.002265 0.004527 0.002262 0.000016 0.000000 -0.000016 0.002265 0.004527 0.002262 -0.000016 
0.000000 0.000000 -0.000019 0.002642 0.005282 0.002639 0.000019 0.000000 -0.000019 0.002642 0.005282 0.002639 -0.000019 
0.000000 0.000000 -0.000021 0.003020 0.006036 0.003016 0.000021 0.000000 -0.000021 0.003020 0.006036 0.003016 -0.000021 
0.000000 0.000000 -0.000024 0.003397 0.006791 0.003394 0.000024 0.000000 -0.000024 0.003397 0.006791 0.003394 -0.000024 
0.000000 0.000000 -0.000027 0.003775 0.007545 0.003771 0.000027 0.000000 -0.000027 0.003775 0.007545 0.003771 -0.000027 
0.000000 0.000000 -0.000030 0.004152 0.008300 0.004148 0.000030 0.000000 -0.000030 0.004152 0.008300 0.004148 -0.000030 
0.000000 0.000000 -0.000032 0.004529 0.009054 0.004525 0.000032 0.000000 -0.000032 0.004529 0.009054 0.004525 -0.000032 
0.000000 0.000000 -0.000035 0.004907 0.009809 0.004902 0.000035 0.000000 -0.000035 0.004907 0.009809 0.004902 -0.000035 
0.000000 0.000000 -0.000038 0.005284 0.010563 0.005279 0.000038 0.000000 -0.000038 0.005284 0.010563 0.005279 -0.000038 
0.000000 0.000000 -0.000040 0.005662 0.011318 0.005656 0.000040 0.000000 -0.000040 0.005662 0.011318 0.005656 -0.000040 
0.000000 0.000000 -0.000043 0.006039 0.012072 0.006033 0.000043 0.000000 -0.000043 0.006039 0.012072 0.006033 -0.000043 
0.000000 0.000000 -0.000046 0.006417 0.012827 0.006410 0.000046 0.000000 -0.000046 0.006417 0.012827 0.006410 -0.000046 
0.000000 0.000000 -0.000048 0.006794 0.013581 0.006787 0.000048 0.000000 -0.000048 0.006794 0.013581 0.006787 -0.000048 
0.000000 0.000000 -0.000051 0.007172 0.014336 0.007164 0.000051 0.000000 -0.000051 0.007172 0.014336 0.007164 -0.000051 
0.000000 0.000000 -0.000054 0.007549 0.015090 0.007541 0.000054 0.000000 -0.000054 0.007549 0.015090 0.007541 -0.000054 
0.000000 0.000000 -0.000056 0.007927 0.015845 0.007918 0.000056 0.000000 -0.000056 0.007927 0.015845 0.007918 -0.000056 
0.000000 0.000000 -0.000059 0.008304 0.016599 0.008295 0.000059 0.000000 -0.000059 0.008304 0.016599 0.008295 -0.000059 
0.000000 0.000000 -0.000062 0.008682 0.017354 0.008672 0.000062 0.000000 -0.000062 0.008682 0.017354 0.008672 -0.000062 
0.000000 0.000000 -0.000064 0.009059 0.018108 0.009049 0.000064 0.000000 -0.000064 0.009059 0.018108 0.009049 -0.000064 
0.000000 0.000000 -0.000067 0.009436 0.018863 0.009427 0.000067 0.000000 -0.000067 0.009436 0.018863 0.009427 -0.000067 
0.000000 0.000000 -0.000070 0.009814 0.019618 0.009804 0.000070 0.000000 -0.000070 0.009814 0.019618 0.009804 -0.000070 
0.000000 0.000000 -0.000073 0.010191 0.020372 0.010181 0.000073 0.000000 -0.000073 0.010191 0.020372 0.010181 -0.000073 
0.000000 0.000000 -0.000075 0.010569 0.021127 0.010558 0.000075 0.000000 -0.000075 0.010569 0.021127 0.010558 -0.000075 
0.000000 0.000000 -0.000078 0.010946 0.021881 0.010935 0.000078 0.000000 -0.000078 0.010946 0.021881 0.010935 -0.000078 
0.000000 0.000000 -0.000081 0.011324 0.022636 0.011312 0.000081 0.000000 -0.000081 0.011324 0.022636 0.011312 -0.000081 
0.000000 0.000000 -0.000083 0.011701 0.023390 0.011689 0.000083 0.000000 -0.000083 0.011701 0.023390 0.011689 -0.000083 
0.000000 0.000000 -0.000086 0.012079 0.024145 0.012066 0.000086 0.000000 -0.000086 0.012079 0.024145 0.012066 -0.000086 
0.000000 0.000000 -0.000089 0.012456 0.024899 0.012443 0.000089 0.000000 -0.000089 0.012456 0.024899 0.012443 -0.000089 
0.000000 0.000000 -0.000091 0.012834 0.025654 0.012820 0.000091 0.000000 -0.000091 0.012834 0.025654 0.012820 -0.000091 
0.000000 0.000000 -0.000094 0.013211 0.026408 0.013197 0.000094 0.000000 -0.000094 0.013211 0.026408 0.013197 -0.000094 
0.000000 0.000000 -0.000097 0.013588 0.027163 0.013574 0.000097 0.000000 -0.000097 0.013588 0.027163 0.013574 -0.000097 
0.000000 0.000000 -0.000099 0.013966 0.027917 0.013951 0.000099 0.000000 -0.000099 0.013966 0.027917 0.013951 -0.000099 
0.000000 0.000000 -0.000102 0.014343 0.028672 0.014328 0.000102 0.000000 -0.000102 0.014343 0.028672 0.014328 -0.000102 
0.000000 0.000000 -0.000105 0.014721 0.029426 0.014705 0.000105 0.000000 -0.000105 0.014721 0.029426 0.014705 -0.000105 
0.000000 0.000000 -0.000107 0.015098 0.030181 0.015082 0.000107 0.000000 -0.000107 0.015098 0.030181 0.015082 -0.000107 
0.000000 0.000000 -0.000110 0.015476 0.030935 0.015460 0.000110 0.000000 -0.000110 0.015476 0.030935 0.015460 -0.000110 
0.000000 0.000000 -0.000113 0.015853 0.031690 0.015837 0.000113 0.000000 -0.000113 0.015853 0.031690 0.015837 -0.000113 
0.000000 0.000000 -0.000115 0.016231 0.032444 0.016214 0.000115 0.000000 -0.000115 0.016231 0.032444 0.016214 -0.000115 
0.000000 0.000000 -0.000118 0.016608 0.033199 0.016591 0.000118 0.000000 -0.000118 0.016608 0.033199 0.016591 -0.000118 
0.000000 0.000000 -0.000121 0.016986 0.033953 0.016968 0.000121 0.000000 -0.000121 0.016986 0.033953 0.016968 -0.000121 
0.000000 0.000000 -0.000124 0.017363 0.034708 0.017345 0.000124 0.000000 -0.000124 0.017363 0.034708 0.017345 -0.000124 
0.000000 0.000000 -0.000126 0.017741 0.035462 0.017722 0.000126 0.000000 -0.000126 0.017741 0.035462 0.017722 -0.000126 
0.000000 0.000000 -0.000129 0.018118 0.036217 0.018099 0.000129 0.000000 -0.000129 0.018118 0.036217 0.018099 -0.000129 
0.000000 0.000000 -0.000132 0.018495 0.036971 0.018476 0.000132 0.000000 -0.000132 0.018495 0.036971 0.018476 -0.000132 
0.000000 0.000000 -0.000134 0.018873 0.037726 0.018853 0.000134 0.000000 -0.000134 0.018873 0.037726 0.018853 -0.000134 
0.000000 0.000000 -0.000137 0.019250 0.038480 0.019230 0.000137 0.000000 -0.000137 0.019250 0.038480 0.019230 -0.000137 
0.000000 0.000000 -0.000140 0.019628 0.039235 0.019607 0.000140 0.000000 -0.000140 0.019628 0.039235 0.019607 -0.000140 
0.000000 0.000000 -0.000142 0.020005 0.039990 0.019984 0.000142 0.000000 -0.000142 0.020005 0.039990 0.019984 -0.000142 
0.000000 0.000000 -0.000145 0.020383 0.040744 0.020361 0.000145 0.000000 -0.000145 0.020383 0.040744 0.020361 -0.000145 
0.000000 0.000000 -0.000148 0.020760 0.041499 0.020738 0.000148 0.000000 -0.000148 0.020760 0.041499 0.020738 -0.000148 
0.000000 0.000000 -0.000150 0.021138 0.042253 0.021115 0.000150 0.000000 -0.000150 0.021138 0.042253 0.021115 -0.000150 
