WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.000000 0.000000 -0.000027 0.003741 0.007614 0.003737 0.000027 0.000000 -0.000027 0.003741 0.007342 0.003737 -0.000027 
0.000000 0.000000 -0.000053 0.007482 0.015227 0.007474 0.000053 0.000000 -0.000053 0.007482 0.014684 0.007474 -0.000053 
0.000000 0.000000 -0.000080 0.011223 0.022841 0.011211 0.000080 0.000000 -0.000080 0.011223 0.022027 0.011211 -0.000080 
0.000000 0.000000 -0.000106 0.014964 0.030455 0.014948 0.000106 0.000000 -0.000106 0.014964 0.029369 0.014948 -0.000106 
0.000000 0.000000 -0.000133 0.018705 0.038068 0.018685 0.000133 0.000000 -0.000133 0.018705 0.036711 0.018685 -0.000133 
0.000000 0.000000 -0.000160 0.022446 0.045682 0.022422 0.000160 0.000000 -0.000160 0.022446 0.044053 0.022422 -0.000160 
0.000000 0.000000 -0.000186 0.026187 0.053296 0.026159 0.000186 0.000000 -0.000186 0.026187 0.051396 0.026159 -0.000186 
0.000000 0.000000 -0.000213 0.029928 0.060909 0.029896 0.000213 0.000000 -0.000213 0.029928 0.058738 0.029896 -0.000213 
0.000000 0.000000 -0.000240 0.033668 0.068523 0.033633 0.000240 0.000000 -0.000240 0.033668 0.066080 0.033633 -0.000240 
0.000000 0.000000 -0.000266 0.037409 0.076137 0.037370 0.000266 0.000000 -0.000266 0.037409 0.073422 0.037370 -0.000266 
0.000000 0.000000 -0.000293 0.041150 0.083750 0.041107 0.000293 0.000000 -0.000293 0.041150 0.080765 0.041107 -0.000293 
0.000000 0.000000 -0.000319 0.044891 0.091364 0.044844 0.000319 0.000000 -0.000319 0.044891 0.088107 0.044844 -0.000319 
0.000000 0.000000 -0.000346 0.048632 0.098978 0.048581 0.000346 0.000000 -0.000346 0.048632 0.095449 0.048581 -0.000346 
0.000000 0.000000 -0.000373 0.052373 0.106592 0.052318 0.000373 0.000000 -0.000373 0.052373 0.102791 0.052318 -0.000373 
0.000000 0.000000 -0.000399 0.056114 0.114205 0.056055 0.000399 0.000000 -0.000399 0.056114 0.110134 0.056055 -0.000399 
0.000000 0.000000 -0.000426 0.059855 0.121819 0.059792 0.000426 0.000000 -0.000426 0.059855 0.117476 0.059792 -0.000426 
0.000000 0.000000 -0.000452 0.063596 0.129433 0.063529 0.000452 0.000000 -0.000452 0.063596 0.124818 0.063529 -0.000452 
0.000000 0.000000 -0.000479 0.067337 0.137046 0.067266 0.000479 0.000000 -0.000479 0.067337 0.132160 0.067266 -0.000479 
0.000000 0.000000 -0.000506 0.071078 0.144660 0.071003 0.000506 0.000000 -0.000506 0.071078 0.139503 0.071003 -0.000506 
0.000000 0.000000 -0.000532 0.074819 0.152274 0.074740 0.000532 0.000000 -0.000532 0.074819 0.146845 0.074740 -0.000532 
0.000000 0.000000 -0.000559 0.078560 0.159887 0.078477 0.000559 0.000000 -0.000559 0.078560 0.154187 0.078477 -0.000559 
0.000000 0.000000 -0.000586 0.082301 0.167501 0.082214 0.000586 0.000000 -0.000586 0.082301 0.161529 0.082214 -0.000586 
0.000000 0.000000 -0.000612 0.086042 0.175115 0.085951 0.000612 0.000000 -0.000612 0.086042 0.168871 0.085951 -0.000612 
0.000000 0.000000 -0.000639 0.089783 0.182728 0.089688 0.000639 0.000000 -0.000639 0.089783 0.176214 0.089688 -0.000639 
0.000000 0.000000 -0.000665 0.093524 0.190342 0.093425 0.000665 0.000000 -0.000665 0.093524 0.183556 0.093425 -0.000665 
0.000000 0.000000 -0.000692 0.097264 0.197956 0.097162 0.000692 0.000000 -0.000692 0.097264 0.190898 0.097162 -0.000692 
0.000000 0.000000 -0.000719 0.101005 0.205569 0.100899 0.000719 0.000000 -0.000719 0.101005 0.198240 0.100899 -0.000719 
0.000000 0.000000 -0.000745 0.104746 0.213183 0.104636 0.000745 0.000000 -0.000745 0.104746 0.205583 0.104636 -0.000745 
0.000000 0.000000 -0.000772 0.108487 0.220797 0.108373 0.000772 0.000000 -0.000772 0.108487 0.212925 0.108373 -0.000772 
0.000000 0.000000 -0.000798 0.112228 0.228410 0.112110 0.000798 0.000000 -0.000798 0.112228 0.220267 0.112110 -0.000798 
0.000000 0.000000 -0.000825 0.115969 0.236024 0.115848 0.000825 0.000000 -0.000825 0.115969 0.227609 0.115848 -0.000825 
0.000000 0.000000 -0.000852 0.119710 0.243638 0.119585 0.000852 0.000000 -0.000852 0.119710 0.234952 0.119585 -0.000852 
0.000000 0.000000 -0.000878 0.123451 0.251251 0.123322 0.000878 0.000000 -0.000878 0.123451 0.242294 0.123322 -0.000878 
0.000000 0.000000 -0.000905 0.127192 0.258865 0.127059 0.000905 0.000000 -0.000905 0.127192 0.249636 0.127059 -0.000905 
0.000000 0.000000 -0.000932 0.130933 0.266479 0.130796 0.000932 0.000000 -0.000932 0.130933 0.256978 0.130796 -0.000932 
0.000000 0.000000 -0.000958 0.134674 0.274092 0.134533 0.000958 0.000000 -0.000958 0.134674 0.264321 0.134533 -0.000958 
0.000000 0.000000 -0.000985 0.138415 0.281706 0.138270 0.000985 0.000000 -0.000985 0.138415 0.271663 0.138270 -0.000985 
0.000000 0.000000 -0.001011 0.142156 0.289320 0.142007 0.001011 0.000000 -0.001011 0.142156 0.279005 0.142007 -0.001011 
0.000000 0.000000 -0.001038 0.145897 0.296933 0.145744 0.001038 0.000000 -0.001038 0.145897 0.286347 0.145744 -0.001038 
0.000000 0.000000 -0.001065 0.149638 0.304547 0.149481 0.001065 0.000000 -0.001065 0.149638 0.293689 0.149481 -0.001065 
0.000000 0.000000 -0.001091 0.153379 0.312161 0.153218 0.001091 0.000000 -0.001091 0.153379 0.301032 0.153218 -0.001091 
0.000000 0.000000 -0.001118 0.157120 0.319775 0.156955 0.001118 0.000000 -0.001118 0.157120 0.308374 0.156955 -0.001118 
0.000000 0.000000 -0.001144 0.160860 0.327388 0.160692 0.001144 0.000000 -0.001144 0.160860 0.315716 0.160692 -0.001144 
0.000000 0.000000 -0.001171 0.164601 0.335002 0.164429 0.001171 0.000000 -0.001171 0.164601 0.323058 0.164429 -0.001171 
0.000000 0.000000 -0.001198 0.168342 0.342616 0.168166 0.001198 0.000000 -0.001198 0.168342 0.330401 0.168166 -0.001198 
0.000000 0.000000 -0.001224 0.172083 0.350229 0.171903 0.001224 0.000000 -0.001224 0.172083 0.337743 0.171903 -0.001224 
0.000000 0.000000 -0.001251 0.175824 0.357843 0.175640 0.001251 0.000000 -0.001251 0.175824 0.345085 0.175640 -0.001251 
0.000000 0.000000 -0.001278 0.179565 0.365457 0.179377 0.001278 0.000000 -0.001278 0.179565 0.352427 0.179377 -0.001278 
0.000000 0.000000 -0.001304 0.183306 0.373070 0.183114 0.001304 0.000000 -0.001304 0.183306 0.359770 0.183114 -0.001304 
0.000000 0.000000 -0.001331 0.187047 0.380684 0.186851 0.001331 0.000000 -0.001331 0.187047 0.367112 0.186851 -0.001331 
0.000000 0.000000 -0.001357 0.190788 0.388298 0.190588 0.001357 0.000000 -0.001357 0.190788 0.374454 0.190588 -0.001357 
0.000000 0.000000 -0.001384 0.194529 0.395911 0.194325 0.001384 0.000000 -0.001384 0.194529 0.381796 0.194325 -0.001384 
0.000000 0.000000 -0.001411 0.198270 0.403525 0.198062 0.001411 0.000000 -0.001411 0.198270 0.389139 0.198062 -0.001411 
0.000000 0.000000 -0.001437 0.202011 0.411139 0.201799 0.001437 0.000000 -0.001437 0.202011 0.396481 0.201799 -0.001437 
0.000000 0.000000 -0.001464 0.205752 0.418752 0.205536 0.001464 0.000000 -0.001464 0.205752 0.403823 0.205536 -0.001464 
0.000000 0.000000 -0.001490 0.209493 0.426366 0.209273 0.001490 0.000000 -0.001490 0.209493 0.411165 0.209273 -0.001490 
0.000000 0.000000 -0.001517 0.213234 0.433980 0.213010 0.001517 0.000000 -0.001517 0.213234 0.418508 0.213010 -0.001517 
0.000000 0.000000 -0.001544 0.216975 0.441593 0.216747 0.001544 0.000000 -0.001544 0.216975 0.425850 0.216747 -0.001544 
0.000000 0.000000 -0.001570 0.220716 0.449207 0.220484 0.001570 0.000000 -0.001570 0.220716 0.433192 0.220484 -0.001570 
0.000000 0.000000 -0.001597 0.224457 0.456821 0.224221 0.001597 0.000000 -0.001597 0.224457 0.440534 0.224221 -0.001597 
0.000000 0.000000 -0.001624 0.228197 0.464434 0.227958 0.001624 0.000000 -0.001624 0.228197 0.447876 0.227958 -0.001624 
0.000000 0.000000 -0.001650 0.231938 0.472048 0.231695 0.001650 0.000000 -0.001650 0.231938 0.455219 0.231695 -0.001650 
0.000000 0.000000 -0.001677 0.235679 0.479662 0.235432 0.001677 0.000000 -0.001677 0.235679 0.462561 0.235432 -0.001677 
0.000000 0.000000 -0.001703 0.239420 0.487275 0.239169 0.001703 0.000000 -0.001703 0.239420 0.469903 0.239169 -0.001703 
0.000000 0.000000 -0.001730 0.243161 0.494889 0.242906 0.001730 0.000000 -0.001730 0.243161 0.477245 0.242906 -0.001730 
0.000000 0.000000 -0.001757 0.246902 0.502503 0.246643 0.001757 0.000000 -0.001757 0.246902 0.484588 0.246643 -0.001757 
0.000000 0.000000 -0.001783 0.250643 0.510116 0.250380 0.001783 0.000000 -0.001783 0.250643 0.491930 0.250380 -0.001783 
0.000000 0.000000 -0.001810 0.254384 0.517730 0.254117 0.001810 0.000000 -0.001810 0.254384 0.499272 0.254117 -0.001810 
0.000000 0.000000 -0.001836 0.258125 0.525344 0.257854 0.001836 0.000000 -0.001836 0.258125 0.506614 0.257854 -0.001836 
0.000000 0.000000 -0.001863 0.261866 0.532958 0.261591 0.001863 0.000000 -0.001863 0.261866 0.513957 0.261591 -0.001863 
0.000000 0.000000 -0.001890 0.265607 0.540571 0.265328 0.001890 0.000000 -0.001890 0.265607 0.521299 0.265328 -0.001890 
0.000000 0.000000 -0.001916 0.269348 0.548185 0.269065 0.001916 0.000000 -0.001916 0.269348 0.528641 0.269065 -0.001916 
0.000000 0.000000 -0.001943 0.273089 0.555799 0.272802 0.001943 0.000000 -0.001943 0.273089 0.535983 0.272802 -0.001943 
0.000000 0.000000 -0.001970 0.276830 0.563412 0.276539 0.001970 0.000000 -0.001970 0.276830 0.543326 0.276539 -0.001970 
0.000000 0.000000 -0.001996 0.280571 0.571026 0.280276 0.001996 0.000000 -0.001996 0.280571 0.550668 0.280276 -0.001996 
0.000000 0.000000 -0.002023 0.284312 0.578640 0.284013 0.002023 0.000000 -0.002023 0.284312 0.558010 0.284013 -0.002023 
0.000000 0.000000 -0.002049 0.288053 0.586253 0.287750 0.002049 0.000000 -0.002049 0.288053 0.565352 0.287750 -0.002049 
0.000000 0.000000 -0.002076 0.291793 0.593867 0.291487 0.002076 0.000000 -0.002076 0.291793 0.572695 0.291487 -0.002076 
0.000000 0.000000 -0.002103 0.295534 0.601481 0.295224 0.002103 0.000000 -0.002103 0.295534 0.580037 0.295224 -0.002103 
0.000000 0.000000 -0.002129 0.299275 0.609094 0.298961 0.002129 0.000000 -0.002129 0.299275 0.587379 0.298961 -0.002129 
0.000000 0.000000 -0.002156 0.303016 0.616708 0.302698 0.002156 0.000000 -0.002156 0.303016 0.594721 0.302698 -0.002156 
0.000000 0.000000 -0.002182 0.306757 0.624322 0.306435 0.002182 0.000000 -0.002182 0.306757 0.602063 0.306435 -0.002182 
0.000000 0.000000 -0.002209 0.310498 0.631935 0.310172 0.002209 0.000000 -0.002209 0.310498 0.609406 0.310172 -0.002209 
0.000000 0.000000 -0.002236 0.314239 0.639549 0.313909 0.002236 0.000000 -0.002236 0.314239 0.616748 0.313909 -0.002236 
0.000000 0.000000 -0.002262 0.317980 0.647163 0.317646 0.002262 0.000000 -0.002262 0.317980 0.624090 0.317646 -0.002262 
0.000000 0.000000 -0.002289 0.321721 0.654776 0.321383 0.002289 0.000000 -0.002289 0.321721 0.631432 0.321383 -0.002289 
0.000000 0.000000 -0.002316 0.325462 0.662390 0.325120 0.002316 0.000000 -0.002316 0.325462 0.638775 0.325120 -0.002316 
0.000000 0.000000 -0.002342 0.329203 0.670004 0.328857 0.002342 0.000000 -0.002342 0.329203 0.646117 0.328857 -0.002342 
0.000000 0.000000 -0.002369 0.332944 0.677617 0.332594 0.002369 0.000000 -0.002369 0.332944 0.653459 0.332594 -0.002369 
0.000000 0.000000 -0.002395 0.336685 0.685231 0.336331 0.002395 0.000000 -0.002395 0.336685 0.660801 0.336331 -0.002395 
0.000000 0.000000 -0.002422 0.340426 0.692845 0.340068 0.002422 0.000000 -0.002422 0.340426 0.668144 0.340068 -0.002422 
0.000000 0.000000 -0.002449 0.344167 0.700458 0.343805 0.002449 0.000000 -0.002449 0.344167 0.675486 0.343805 -0.002449 
0.000000 0.000000 -0.002475 0.347908 0.708072 0.347543 0.002475 0.000000 -0.002475 0.347908 0.682828 0.347543 -0.002475 
0.000000 0.000000 -0.002502 0.351649 0.715686 0.351280 0.002502 0.000000 -0.002502 0.351649 0.690170 0.351280 -0.002502 
0.000000 0.000000 -0.002528 0.355389 0.723299 0.355017 0.002528 0.000000 -0.002528 0.355389 0.697513 0.355017 -0.002528 
0.000000 0.000000 -0.002555 0.359130 0.730913 0.358754 0.002555 0.000000 -0.002555 0.359130 0.704855 0.358754 -0.002555 
0.000000 0.000000 -0.002582 0.362871 0.738527 0.362491 0.002582 0.000000 -0.002582 0.362871 0.712197 0.362491 -0.002582 
0.000000 0.000000 -0.002608 0.366612 0.746141 0.366228 0.002608 0.000000 -0.002608 0.366612 0.719539 0.366228 -0.002608 
0.000000 0.000000 -0.002635 0.370353 0.753754 0.369965 0.002635 0.000000 -0.002635 0.370353 0.726881 0.369965 -0.002635 
0.000000 0.000000 -0.002662 0.374094 0.761368 0.373702 0.002662 0.000000 -0.002662 0.374094 0.734224 0.373702 -0.002662 
0.000000 0.000000 -0.002688 0.377835 0.768982 0.377439 0.002688 0.000000 -0.002688 0.377835 0.741566 0.377439 -0.002688 
0.000000 0.000000 -0.002688 0.377835 0.768982 0.377439 0.002688 0.000000 -0.002688 0.377835 0.741566 0.377439 -0.002688 
0.000000 0.000000 -0.002688 0.377835 0.768982 0.377439 0.002688 0.000000 -0.002688 0.377835 0.741566 0.377439 -0.002688 
0.000000 0.000000 -0.002688 0.377835 0.768982 0.377439 0.002688 0.000000 -0.002688 0.377835 0.741566 0.377439 -0.002688 
